Structure,HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),Calc_Kr,Calc_lambda,refractive_index,E_T(30),E_T^N,Quantum Yield,Exp. Kr,lambda,Exp. lifetime,,Refer,,,Note
 11B,-0.207142199,-0.084026449,7.94531258,9.54,168.59,0.0008474,2.33562,1357669.582,0.942,0.4634,5.3672,3.3538,0.94,0.3733,5.8481,4.6506,0.8378,0.5473,4.6772,1.758,0.8696,0.468,4.8538,3.2254,0.7491,0.5716,4.0585,1.463,0.8363,0.4367,4.8182,3.6264,1,2,2,3,1.918267187,2.015611322,2.097381463,2.124511473,126.62038,205.3065,205.35387,312.57014,263638.5318,530.9082813,1.4448,40.7,0.309,0.82,222000,518,3.7,,"Chem. Sci., 2016,7, 1653-1673",,,
 11C,-0.20667167,-0.084082395,5.660845,6.03,159.44,0.0007436,2.32792,1357668.66,0.9422,0.4526,5.3539,3.5252,0.921,0.4094,5.6602,4.0727,0.8604,0.5216,5.0168,1.9364,0.8709,0.4564,4.8463,3.3958,0.7272,0.5786,4.0876,1.1623,0.8209,0.4861,4.5278,2.091,1,2,2,3,1.92395712,2.019750727,2.111780292,2.14641981,126.61532,205.3124,205.33216,312.61821,211441.4289,532.6643527,1.4448,40.7,0.309,0.9,184000,522,4.9,,"Chem. Sci., 2016,7, 1653-1673",,,
 11D,-0.207240181,-0.084141715,7.68137953,6.58,161.14,0.0008126,2.34264,1357669.42,0.943,0.4476,5.3547,3.5238,0.937,0.3819,5.8845,4.6066,0.8388,0.5416,4.7196,1.5154,0.8712,0.4515,4.8445,3.4066,0.732,0.5757,4.1233,0.9247,0.8335,0.4644,4.6627,2.6297,1,2,2,3,1.923239195,2.014567199,2.092735053,2.135042388,126.62092,205.31018,205.34368,312.55927,227711.0062,529.3173514,1.4448,40.7,0.309,0.77,193000,522,4,,"Chem. Sci., 2016,7, 1653-1673",,,
 11E,-0.206756727,-0.083662277,8.32372646,7.52,181.08,0.0008777,2.33204,1357669.299,0.9415,0.4617,5.3678,3.402,0.9317,0.3893,5.7849,4.4581,0.8463,0.5406,4.8183,1.872,0.8689,0.4662,4.8528,3.2635,0.7519,0.5676,4.0743,1.5766,0.829,0.4528,4.7924,3.4314,1,2,2,3,1.918945023,2.016047122,2.098243551,2.124310241,126.61832,205.30948,205.34406,312.59057,260020.9554,531.7232981,1.4448,40.7,0.309,0.77,193000,522,4,,"Chem. Sci., 2016,7, 1653-1673",,,
 11F,-0.200128142,-0.083517836,7.90494773,6.39,143.7,0.0006205,2.20086,1357669.11,0.949,0.4383,5.5172,3.6721,0.9514,0.3536,6.2993,5.0985,0.8484,0.529,4.8565,1.5754,0.8833,0.4411,5.0278,3.5811,0.8334,0.4308,5.0037,3.6809,0.7586,0.5578,4.1425,1.6635,1,2,2,3,1.920210926,2.017480607,2.096218977,2.143951958,126.62123,205.31036,205.34667,312.58614,177502.3786,563.4161192,1.4448,40.7,0.309,0.95,173000,543,5.5,,"Chem. Sci., 2016,7, 1653-1673",,,
 11G,-0.192489044,-0.083513876,8.45313158,4.94,113.12,0.0006908,2.03732,1357668.869,0.9564,0.4157,5.6071,3.8757,0.9722,0.3037,6.682,5.5754,0.8617,0.4828,5.0496,1.9464,0.9036,0.4168,5.2043,3.838,0.8851,0.3504,5.629,4.7609,0.7471,0.5697,4.1088,1.8636,1,2,2,3,1.920075259,2.011901837,2.098580711,2.162662711,126.61858,205.3097,205.34871,312.34375,147957.4133,608.6427267,1.4448,40.7,0.309,0.23,100000,570,2.3,,"Chem. Sci., 2016,7, 1653-1673",,,
 11H,-0.204341723,-0.083252709,6.76872847,7.37,291.36,0.001378,2.24131,1357669.159,0.9286,0.4517,5.1943,2.8639,0.8585,0.5212,4.6463,2.5673,0.9506,0.5153,5.4771,2.405,0.8725,0.4558,4.8028,2.7607,0.7708,0.5513,4.1168,2.161,0.7562,0.5635,4.0648,1.6096,1,2,2,3,1.945124418,2.009899002,2.067091435,2.077107123,126.54571,205.31162,205.26496,312.32699,391244.4047,553.2478774,1.4448,40.7,0.309,0.9,209000,551,4.3,,"Chem. Sci., 2016,7, 1653-1673",,,
 11I,-0.20836587,-0.082689168,4.44375355,12.63,206.24,0.0008337,2.35513,1357668.22,0.931,0.462,5.2186,3.0837,0.8197,0.5444,4.3337,1.4947,0.9182,0.5399,5.0516,1.6496,0.8485,0.4695,4.6397,2.9758,0.7378,0.5526,3.9706,1.6142,0.7978,0.5143,4.3098,2.2077,1,2,2,3,1.967594216,2.014987097,2.085215097,2.113102222,126.57097,205.30739,205.33572,312.5577,357299.7464,526.5102139,1.4448,40.7,0.309,0.8,156862.7451,517,5.1,,"Chem. Sci., 2016,7, 1653-1673",,,
 1c1,-0.207266507,-0.078064768,10.42466547,38.94,84.33,0.000132,2.54046,1357670.824,0.9596,0.2616,6.0562,5.4175,0.9465,0.3834,6.2787,4.4213,0.97,0.2588,6.1418,5.3171,0.7646,0.4836,4.2124,3.5297,0.7877,0.5442,4.4726,2.9553,0.9527,0.2997,6.485,4.999,1,1,2,2,1.997885382,2.015254078,2.168869291,2.175743091,126.51587,126.53296,205.35579,205.38687,61419.18421,488.1005802,1.4448,40.7,0.309,0.07,3.50E+05,510,0.2,,"Chem. Sci., 2016,7, 1653-1673",,,
 1c2,-0.196846785,-0.081335792,12.13977036,148.62,180.35,0.0006342,2.44869,1357671.854,0.9847,0.2253,6.8487,5.8922,0.9339,0.3906,5.5344,3.9888,0.956,0.4055,5.8093,4.1491,0.9544,0.2443,6.5737,5.6889,0.8852,0.3899,5.0413,4.0145,0.8242,0.4953,4.9403,2.8315,1,1,2,2,2.001067965,2.00439567,2.100101426,2.183435367,126.5087,126.50065,205.35587,205.37989,296917.5445,506.3932143,1.4448,40.7,0.309,0.17,1.13E+05,532,1.5,,"Chem. Sci., 2016,7, 1653-1673",,,
 1c3,-0.204905691,-0.081364766,8.9819285,79.81,232.73,0.001195,2.28747,1357673.878,0.9085,0.4533,5.1489,3.6927,0.9365,0.3546,6.0104,4.5555,0.9836,0.2528,6.5263,5.405,0.8301,0.4711,4.5706,3.4557,0.7399,0.579,4.0713,2.2229,0.8521,0.4089,5.2655,3.7717,1,1,2,2,1.966460272,2.012613723,2.130911777,2.197547042,126.56859,126.50902,205.40808,205.34522,354357.3197,542.083612,1.4448,40.7,0.309,0.57,1.12E+05,546,5.1,,"Chem. Sci., 2016,7, 1653-1673",,,
 2A,-0.201427195,-0.099564414,14.04235397,8.96,355.61,0.0004592,1.76897,1357662.67,0.9222,0.4293,5.1123,3.1303,0.9454,0.4202,5.4723,3.221,0.7692,0.3207,3.7621,2.7657,0.8854,0.4327,4.8692,3.1007,0.8911,0.427,5.0396,3.1742,0.6938,0.5839,3.751,1.9593,2,2,3,3,1.995022306,1.995992485,2.008949477,2.009533279,205.29899,205.2937,312.64186,312.63801,92700.19485,700.9728825,1.4969,33.9,0.099,0.24,136363.6364,624,1.76,,"Chem. Sci., 2016,7, 1653-1673",,,
 2B,-0.195904967,-0.098051642,13.42428455,7.85,342.26,0.0003545,1.68906,1357662.607,0.9317,0.421,5.2926,3.1553,0.9522,0.4122,5.6493,3.2234,0.8858,0.549,5.1611,2.1992,0.8967,0.4244,5.0422,3.1272,0.9057,0.4182,5.2484,3.1832,0.7029,0.581,3.8037,2.0515,2,2,3,3,1.995667808,1.996406021,2.009180181,2.009547461,205.29567,205.29099,312.63834,312.63411,75812.94014,734.1361467,1.4969,33.9,0.099,0.12,129000,646,0.93,,"Chem. Sci., 2016,7, 1653-1673",,,
 2C,-0.201997675,-0.094835775,13.06221445,4.66,228.78,0.001162,1.90282,1357662.261,0.9635,0.4066,5.0023,3.075,0.9658,0.4061,5.4121,3.1328,0.9001,0.557,4.9123,2.2838,0.9311,0.4084,4.7703,3.0552,0.9258,0.417,4.9558,3.0738,0.7476,0.6228,3.9136,1.746,2,2,3,3,2.000617155,2.000617155,2.007933764,2.007933764,205.30977,205.30982,312.64152,312.6415,185389.808,651.6643718,1.4969,33.9,0.099,0.34,114000,593,2.98,,"Chem. Sci., 2016,7, 1653-1673",,,
 2D,-0.195449327,-0.093787686,12.50926669,1.11,250.74,0.001225,1.80311,1357662.854,0.9274,0.4029,5.259,3.1346,0.9539,0.4041,5.6431,3.1686,0.8871,0.5716,5.0781,2.2587,0.897,0.4034,5.0441,3.1259,0.9067,0.4112,5.2448,3.1297,0.7178,0.6195,3.9461,1.841,2,2,3,3,1.998694824,1.998694824,2.004482227,2.004482227,205.29337,205.29337,312.63082,312.63081,174341.2349,687.7006949,1.4969,33.9,0.099,0.25,176000,610,1.42,,"Chem. Sci., 2016,7, 1653-1673",,,
 3d1,-0.205258038,-0.07903056,11.35434347,128.27,77.57,0.0001807,2.47623,1357674.657,0.9526,0.3754,5.8805,4.6342,0.9381,0.3982,4.9047,2.9449,0.9727,0.3185,5.9388,5.1423,0.8695,0.397,5.1853,4.3685,0.7867,0.4627,4.0812,2.7629,0.8208,0.508,4.4881,2.6531,1,1,2,1,1.975629014,2.06101213,2.076812461,2.095086872,126.52175,126.51639,205.37904,126.68759,114678.9834,500.7612378,1.4448,40.7,0.309,0.18,2.57E+05,517,0.7,,"Chem. Sci., 2016,7, 1653-1673",,,
 3d2,-0.199600282,-0.078472826,11.25281912,134.62,52.48,0.0005862,2.48278,1357675.237,0.9756,0.2842,6.4786,5.4762,0.929,0.393,5.4835,3.8606,0.8858,0.5969,4.7654,1.4829,0.903,0.3214,5.8723,5.0985,0.8737,0.4043,4.9956,3.786,0.7352,0.5787,4.1458,2.2963,1,1,2,1,1.995519231,2.034563835,2.081284699,2.083158659,126.51481,126.51404,205.3651,126.69002,215114.4329,499.4401437,1.4448,40.7,0.309,0.18,2.57E+05,539,0.7,,"Chem. Sci., 2016,7, 1653-1673",,,
 3d3,-0.2006094,-0.079182753,10.86631982,94.99,51,0.001507,2.50346,1357675.924,0.9701,0.3037,6.5087,5.4157,0.9296,0.4049,5.4957,3.863,0.9109,0.5116,5.2554,2.3734,0.9018,0.3389,5.8803,5.0209,0.8686,0.418,5.0174,3.748,0.7474,0.5876,4.0757,1.9561,1,1,1,2,1.991188088,2.038973761,2.060042233,2.084146348,126.51168,126.51308,126.73008,205.36576,486901.0153,495.3144848,1.4448,40.7,0.309,0.02,1.43E+04,525,1.4,,"Chem. Sci., 2016,7, 1653-1673",,,
 3d4,-0.200225133,-0.078679833,13.11486823,64.7,93.25,0.00266,2.5188,1357676.043,0.965,0.3152,6.4513,5.2786,0.93,0.4202,5.5296,3.7938,0.9438,0.3893,5.8724,4.0936,0.9085,0.3397,5.924,4.9772,0.8667,0.4319,5.0351,3.6769,0.8322,0.4642,4.8051,3.1179,1,1,1,2,1.992109686,2.038019382,2.061912947,2.084263179,126.5139,126.51188,126.7344,205.35978,839032.3395,492.2979196,1.4448,40.7,0.309,0.02,1.11E+04,524,1.8,,"Chem. Sci., 2016,7, 1653-1673",,,
 4A,-0.209032679,-0.087001257,1.20156092,97.66,131.62,0.0003092,1.86197,1357669.038,0.8551,0.7065,4.2763,0.1787,0.8594,0.6736,4.3711,1.5327,0.9058,0.6647,4.745,1.8282,0.7006,0.7068,3.5165,0.2455,0.702,0.6923,3.5462,0.4063,0.7705,0.6601,3.8982,0.8409,1,2,2,1,2.050409959,2.058645428,2.079550432,2.09043273,126.64004,205.34336,205.33796,126.61791,100078.8408,665.9613205,1.4072,37.4,0.207,0.24,43600,582,5.5,,"Chem. Sci., 2016,7, 1653-1673",,,
 4B,-0.204614474,-0.065691001,1.48586623,11.02,295.85,3.59E-05,2.25841,1357665.938,0.7755,0.6571,3.6381,1.0934,0.8228,0.2852,3.5017,2.4286,0.8772,0.5616,4.5038,2.3213,0.6969,0.6635,3.4574,1.0592,0.7851,0.5708,3.8679,2.5441,0.5561,0.5438,2.733,1.3775,1,2,3,3,1.970190346,2.009156291,2.057140005,2.145575214,126.62169,205.36718,312.68813,312.75116,17730.0175,549.0588511,1.406,,,0.22,48900,485,4.5,,"Chem. Sci., 2016,7, 1653-1673",,,
 4C,-0.221571248,-0.10597697,9.86979539,95.81,244.91,0.0008347,1.86308,1357669.957,0.8404,0.5184,4.2222,2.1525,0.8251,0.5524,3.9187,1.874,0.9581,0.2594,4.5215,3.3697,0.7804,0.5257,3.9553,2.1342,0.7629,0.7394,3.8212,0.7205,0.7883,0.4584,3.8029,2.4406,1,2,3,2,1.973967832,2.027089786,2.065739577,2.088702947,126.60787,205.33846,312.68157,205.35989,223596.3106,665.564549,1.4448,40.7,0.309,0.47,181000,595,2.6,,"Chem. Sci., 2016,7, 1653-1673",,,
 4D,-0.230681258,-0.106745703,15.3289738,25.49,344.49,0.0006324,2.12714,1357669.153,0.8541,0.5233,4.4607,3.0528,0.8481,0.4857,4.0547,2.5565,0.8237,0.6504,4.1422,1.4945,0.8055,0.5306,4.1815,3.0087,0.7212,0.5374,3.5057,2.3235,0.7302,0.6124,3.6761,1.7383,1,2,2,4,1.973681079,1.978274501,2.119767204,2.400240821,126.59429,205.32025,205.43479,3311.01233,160754.6303,582.9423545,1.4448,40.7,0.309,0.025,49000,565,0.51,,"Chem. Sci., 2016,7, 1653-1673",,,
 4E,-0.220548842,-0.09115909,17.06387665,111.54,37.58,6.18E-06,2.12299,1357667.435,0.8954,0.5837,5.5365,3.2571,0.9573,0.4822,6.633,5.2673,0.8152,0.6426,4.8677,1.4789,0.7239,0.5567,3.8499,3.8966,0.7573,0.6026,4.4899,1.8417,0.8286,0.5749,5.3213,3.0064,2,1,2,4,1.974027609,2.004341787,2.181147863,2.388473152,205.29828,126.57602,205.39852,3310.99713,1679.38992,584.0818845,1.4448,40.7,0.309,0.68,97100,533,7,,"Chem. Sci., 2016,7, 1653-1673",,,
 4G,-0.216201635,-0.093423724,15.42109838,61.18,243.21,0.0002251,1.8489,1357667.752,0.7771,0.6443,4.3942,1.738,0.9236,0.4945,5.6439,4.1267,0.8377,0.5944,5.2376,1.6535,0.651,0.6311,3.5363,2.0079,0.8191,0.5317,4.6556,3.6336,0.7094,0.601,4.1516,0.3969,1,2,2,4,1.971986055,1.974962025,2.168108853,2.388026172,126.63085,205.29262,205.39215,3311.00727,43942.19343,670.6690465,1.4448,40.7,0.309,0.25,24800,588,10.1,,"Chem. Sci., 2016,7, 1653-1673",,,
 4I,-0.231400727,-0.089317448,9.68252066,45.69,195.67,0.0005218,2.3306,1357668.843,0.7934,0.6881,3.7931,0.8648,0.8477,0.5622,4.2536,1.9528,0.7838,0.2801,3.3736,2.0386,0.6927,0.693,3.4195,0.9102,0.7556,0.7157,3.7851,1.0047,0.7703,0.5674,3.9019,1.9331,1,2,2,4,1.912004184,2.052933511,2.094175017,2.493064981,126.62501,205.36225,205.35034,3310.95954,152311.8477,532.0518321,1.4448,40.7,0.309,0.6,83300,491,7.2,,"Chem. Sci., 2016,7, 1653-1673",,,
 4J,-0.238247925,-0.10250809,8.20273225,11.03,228.99,0.0007813,2.2417,1357668.826,0.8126,0.6351,3.9612,1.2534,0.8789,0.5221,4.3957,2.3848,0.7842,0.3064,3.4366,2.0043,0.7154,0.6407,3.5477,1.204,0.7911,0.5553,3.9675,1.5886,0.7715,0.6632,3.8653,0.6164,1,2,2,4,1.907079967,2.049149092,2.094307045,2.479005849,126.62595,205.3753,205.36333,3310.96702,212706.3193,553.151626,1.4448,40.7,0.309,0.37,74000,518,5,,"Chem. Sci., 2016,7, 1653-1673",,,
 4K,-0.226962657,-0.090945976,14.10932851,44.29,175.04,0.000179,2.3023,1357668.568,0.8268,0.6077,4.5324,1.6176,0.8748,0.5018,4.7921,2.0793,0.9349,0.1461,5.9502,5.4777,0.7081,0.5959,3.6801,1.4799,0.787,0.5077,4.2133,1.9996,0.7712,0.5452,4.2116,1.1487,1,2,2,2,1.910031675,2.055047688,2.094101239,2.125002353,126.62336,205.35676,205.34662,205.61802,73832.17184,538.5918429,1.4448,40.7,0.309,0.6,69800,496,8.6,,"Chem. Sci., 2016,7, 1653-1673",,,
 4L,-0.213193498,-0.092217406,1.44474117,22.59,55.54,0.0001022,1.83227,1357677.084,0.8228,0.6562,4.4187,0.5752,0.9299,0.4522,5.9447,4.3082,0.8863,0.6483,5.0975,2.4631,0.6908,0.6497,3.6646,0.635,0.7653,0.6495,4.3515,1.7656,0.8631,0.479,5.292,3.8156,1,2,1,1,1.906919505,2.029249615,2.060413793,2.087282683,127.00996,205.31273,126.6358,126.58247,26538.77497,676.7561549,1.4448,40.7,0.309,0.26,16455.6962,589,15.8,,"Chem. Sci., 2016,7, 1653-1673",,,
 4N,-0.214200211,-0.098395864,14.08096613,26.66,196.49,0.0007653,2.10041,1357663.574,0.9027,0.5004,5.5097,2.9291,0.9104,0.4225,5.4447,3.47,0.9077,0.5346,5.842,3.2487,0.8285,0.5077,4.7845,2.9099,0.8231,0.4642,4.6434,3.0679,0.8798,0.5149,5.6398,2.8042,2,2,3,3,1.986606655,1.989603729,2.00237484,2.009808946,205.26059,205.24661,312.53359,312.5212,190241.2158,590.3609295,1.4448,40.7,0.309,0.6,113000,586,5.3,,"Chem. Sci., 2016,7, 1653-1673",,,
 4O,-0.209963725,-0.099951975,15.50931492,4.35,293.73,0.0008485,2.00726,1357663.616,0.9263,0.414,5.1488,3.1442,0.9486,0.3932,5.5119,3.2747,0.8642,0.5425,4.7886,2.8499,0.8896,0.4195,4.9026,3.1073,0.8808,0.4116,5.0188,3.1361,0.7012,0.5958,3.836,1.8001,2,2,3,3,1.987800292,1.989349642,2.005288508,2.006715226,205.27314,205.27708,312.36587,312.5441,158296.716,617.7575401,1.4448,40.7,0.309,0.1,52600,595,1.9,,"Chem. Sci., 2016,7, 1653-1673",,,
 4P,-0.202708488,-0.077738513,8.77448447,104.6,338.38,0.001032,2.00934,1357664.369,0.8399,0.5462,4.6608,2.7047,0.8213,0.5696,4.3646,2.2649,0.8748,0.6144,5.2183,2.4033,0.7063,0.5592,3.6163,2.5755,0.7081,0.5783,3.4611,2.0679,0.7072,0.6275,3.6642,2.2436,2,2,3,3,1.967640719,1.977725461,2.018331241,2.022711794,205.31717,205.30941,312.65511,312.64508,198012.6235,617.1180587,1.5011,34.3,0.111,0.27,69200,546,3.9,,"Chem. Sci., 2016,7, 1653-1673",,,
 4Q,-0.213426164,-0.098999306,6.40284075,0.03,1.99,0.001253,1.90482,1357663.844,0.887,0.5674,4.8463,0.9645,0.862,0.6589,5.0939,0.5854,0.869,0.6367,4.8981,1.5899,0.7906,0.5759,4.1928,1.0006,0.7217,0.6538,3.8036,0.9549,0.7718,0.7368,4.2483,0.5567,2,2,3,3,1.984744064,1.984744064,2.008828763,2.008828763,205.21936,205.2194,312.65606,312.65566,197382.5755,650.9801451,1.5011,34.3,0.111,0.26,83900,628,3.1,,"Chem. Sci., 2016,7, 1653-1673",,,
 4R,-0.214564309,-0.099001461,8.39038339,11.51,113.37,0.0008715,1.91592,1357663.708,0.8702,0.5912,4.9032,0.989,0.8505,0.6395,5.1016,1.5246,0.8917,0.6266,5.379,2.0136,0.7741,0.6004,4.1703,1.009,0.7447,0.6381,4.1121,1.0386,0.7606,0.7432,4.181,0.4421,2,2,3,3,1.984818632,1.988462723,2.019131001,2.025514009,205.22017,205.21581,312.58955,312.57437,138960.7767,647.2086517,1.3441,45.6,0.46,0.27,58400,625,4.62,,"Chem. Sci., 2016,7, 1653-1673",,,
 4S,-0.223089871,-0.114318853,11.4761361,10.06,115.42,0.001422,1.75474,1357663.899,0.8839,0.5826,5.0834,0.6083,0.8603,0.6635,5.2836,1.219,0.883,0.6498,5.3742,0.9693,0.7896,0.5962,4.3065,0.5503,0.7559,0.6563,4.0934,0.3926,0.7775,0.7367,4.4882,0.4365,2,2,3,3,1.98296949,1.983855842,2.010792132,2.01839243,205.22834,205.2371,312.59946,312.63245,190141.7551,706.6573965,1.4448,40.7,0.309,0.033,20600,661,1.6,,"Chem. Sci., 2016,7, 1653-1673",,,
 4T,-0.209789922,-0.09309736,5.38144583,5.89,116.19,0.0009047,1.92719,1357663.713,0.8749,0.6108,5.0072,0.7968,0.8481,0.6642,5.2262,1.459,0.8882,0.6424,5.3285,1.9023,0.764,0.621,4.1922,0.8081,0.7448,0.6578,4.196,0.9045,0.787,0.6992,4.3664,0.877,2,2,3,3,1.983516322,1.985569188,2.016959345,2.026854213,205.2113,205.20221,312.64329,312.6338,145992.1456,643.4238451,1.4448,40.7,0.309,0.2,31700,624,6.3,,"Chem. Sci., 2016,7, 1653-1673",,,
 4U,-0.191484528,-0.075303534,9.5697321,33.6,242.19,0.0003436,1.96107,1357663.767,0.866,0.512,5.6706,2.9733,0.8944,0.3839,6.4225,4.4384,0.9373,0.382,7.5562,2.2467,0.7556,0.5171,4.404,2.8783,0.7288,0.4792,3.8404,5.0882,0.7764,0.4699,5.1603,1.1722,2,2,3,3,1.97102968,1.976836614,2.042601772,2.04522346,205.29613,205.29099,312.39226,312.60017,60110.67688,632.3078727,1.4448,40.7,0.309,0.17,26800,568,6.34,,"Chem. Sci., 2016,7, 1653-1673",,,
 4V,-0.214832467,-0.079338609,7.64147035,243.48,101.79,0.0001981,2.02463,1357669.275,0.7659,0.659,3.8518,0.5266,0.8451,0.5808,4.3403,2.3227,0.7022,0.5968,3.2589,1.0492,0.6132,0.6603,3.0255,0.5072,0.6549,0.605,3.316,1.9727,0.7109,0.6325,3.2257,1.1113,2,2,2,2,1.944343077,1.995296469,2.064362613,2.064787156,205.2567,205.24395,205.30226,205.29842,73845.08055,612.4575848,1.3441,45.6,0.46,0.097,23100,566,4.2,,"Chem. Sci., 2016,7, 1653-1673",,,
 4W,-0.232934608,-0.089994252,22.27170253,72.55,95.75,0.0004114,2.39489,1357665.457,0.8476,0.5566,4.4622,1.0216,0.9578,0.4977,5.585,1.9902,0.8912,0.5191,4.7679,0.6521,0.6912,0.5408,3.4694,1.1629,0.7227,0.5369,3.7463,1.2144,0.6536,0.6533,3.5037,1.4024,2,2,2,2,2.009796507,2.021304777,2.024236646,2.051777035,205.36775,205.34532,205.30744,205.28688,115874.0682,517.7690833,1.4448,40.7,0.309,0.82,105000,461,7.8,,"Chem. Sci., 2016,7, 1653-1673",,,
 4X,-0.207990269,-0.090797928,28.06062948,5.7,17.94,3.36E-06,2.47945,1357665.406,0.9898,0.164,5.8335,4.1854,0.9586,0.3218,5.3351,3.4421,0.9697,0.3305,5.4763,3.3105,0.9751,0.1741,5.7158,4.0949,0.8963,0.336,5.01,3.253,0.7091,0.5938,3.5409,0.7304,2,2,2,2,2.011238424,2.02512691,2.03091925,2.051585728,205.347,205.34573,205.31871,205.29549,2222.656156,500.1109117,1.4448,40.7,0.309,0.88,303000,520,2.9,,"Chem. Sci., 2016,7, 1653-1673","Chem. Sci., 2016,7, 1653-1673",,
 4Y,-0.230466699,-0.091656486,12.76140201,24.2,201.44,0.0004604,2.3457,1357676.692,0.828,0.639,4.0473,1.1628,0.8633,0.5788,4.3807,2.2241,0.846,0.5857,3.5437,1.5255,0.7241,0.6368,3.6354,1.1727,0.7627,0.5845,3.8944,1.8204,0.7878,0.6005,3.8558,1.3147,1,1,2,2,1.992983191,2.028991375,2.06924624,2.098054813,126.6003,126.58895,205.37771,205.36827,265658.3074,528.6268491,1.4448,40.7,0.309,0.58,1810000,492,0.32,,"Chem. Sci., 2016,7, 1653-1673",,,
 4Z,-0.198456131,-0.06768528,8.02505412,171.19,191.76,0.0002485,2.14309,1357675.751,0.8415,0.6383,4.2116,1.1788,0.867,0.3309,3.7605,1.7636,0.858,0.5194,4.3745,1.9702,0.7172,0.6252,3.6825,1.2968,0.7955,0.5458,4.0893,2.0393,0.813,0.3603,3.6863,1.6866,1,1,2,2,1.99529672,2.023609152,2.066520989,2.098211143,126.62055,126.60092,205.32847,205.32224,51266.33097,578.6037917,1.406,,,0.73,96100,512,7.6,,"Adv. Mater. 2017, 29, 1601861",,,
 5A,-0.172957902,-0.067854215,2.85699596,0.38,21.16,0.0002336,1.78561,1357675.111,0.9111,0.5316,4.776,2.4751,0.9212,0.5362,4.8554,2.2989,0.8961,0.4737,3.9384,1.391,0.8749,0.5288,4.6194,2.4988,0.8609,0.5321,4.455,2.3002,0.7579,0.626,4.1079,1.7585,1,1,2,2,1.964379037,1.964379037,2.143432061,2.143432061,126.55123,126.55126,205.44238,205.44277,49210.57906,694.4405553,1.406,,,0.14,18400,613,7.6,,"Adv. Mater. 2017, 29, 1601861",,,
 5B,-0.187291033,-0.053380132,7.00901717,203.12,105.87,0.0002257,2.45064,1357673.336,0.92,0.371,5.11,3.8349,0.8815,0.6237,4.9145,1.5454,0.9252,0.3966,5.1888,3.6407,0.7217,0.6132,3.5097,1.6589,0.895,0.4003,5.1319,3.5223,0.7536,0.5555,4.1065,2.148,1,1,2,2,1.943488101,1.989586892,2.128606352,2.137708352,126.57822,126.56004,205.56092,205.51465,111214.9412,505.9902719,1.406,,,0.63,111000,486,5.7,,"Adv. Mater. 2017, 29, 1601861",,,
 5D,-0.200249962,-0.099958568,14.46500693,40.82,260.58,0.001382,1.78603,1357677.652,0.9616,0.3622,5.4593,4.1703,0.9495,0.4971,5.7438,4.0031,0.9578,0.3688,4.7939,3.3692,0.9321,0.3687,5.2099,4.1269,0.8316,0.4937,4.8711,3.8509,0.9014,0.4474,4.9766,3.721,1,1,2,2,1.944039351,2.015360514,2.087415148,2.134912879,126.5476,126.58062,205.30163,205.42023,217458.6675,694.2772518,1.4448,40.7,0.309,0.001,1180,660,0.85,,"Adv. Mater. 2017, 29, 1601861",,,
 5E,-0.199728703,-0.082078244,14.73909358,77.9,123.88,0.001254,2.17922,1357677.651,0.9427,0.4397,5.3141,3.8374,0.9335,0.5634,5.4951,3.4151,0.8886,0.4299,5.8013,4.254,0.864,0.4509,4.83,3.5763,0.7534,0.5486,4.1532,2.4357,0.8259,0.5168,4.9866,2.6119,1,1,2,2,1.935930009,2.011384846,2.094812163,2.112964505,126.54803,126.5782,205.27359,205.53153,293801.0664,569.0109305,1.4448,40.7,0.309,0.17,38600,550,4.4,,"Adv. Mater. 2017, 29, 1601861",,,
 5F,-0.202432349,-0.079056412,16.38669078,91.39,752.96,0.000369,1.96506,1357669.68,0.8229,0.5694,4.1631,1.6076,0.8773,0.4868,4.8401,3.0173,0.6415,0.4918,3.7661,1.0353,0.7379,0.5707,3.5961,1.5893,0.7821,0.5083,4.2655,2.7403,0.6944,0.5918,3.7281,0.6057,1,1,3,3,1.953815242,1.979150323,2.113604977,2.118162647,126.60154,126.67658,312.62793,312.57425,122118.2786,631.0239891,1.4072,37.4,0.207,0.18,51400,443,3.5,,"Adv. Mater. 2017, 29, 1601861",,,
